States/UTs,Number of Accidents,Persons Killed,People Injured,Impacting Vehicle Type,Year,
Tamil Nadu,23813,3537,25802,Two Wheeler,2019,
Telangana,7646,3017,8799,Two Wheeler,2019,
Tripura,165,89,185,Two Wheeler,2019,
Uttarakhand,564,342,467,Two Wheeler,2019,
Uttar Pradesh,12896,6931,8254,Two Wheeler,2019,
West Bengal,1844,1030,1686,Two Wheeler,2019,
Andaman & Nicobar Islands,105,13,97,Two Wheeler,2019,
Chandigarh,124,46,109,Two Wheeler,2019,
Dadra & Nagar Haveli,31,25,31,Two Wheeler,2019,
Daman & Diu,26,11,22,Two Wheeler,2019,
Delhi,1919,490,1650,Two Wheeler,2019,
Lakshadweep,0,0,0,Two Wheeler,2019,
Puducherry,737,48,868,Two Wheeler,2019,
Andhra Pradesh,1520,520,2711,Auto rickshaw,2019,
Arunachal Pradesh,11,7,12,Auto rickshaw,2019,
Assam,473,134,468,Auto rickshaw,2019,
Bihar,446,309,668,Auto rickshaw,2019,
Chhattisgarh,181,41,172,Auto rickshaw,2019,
Goa,1,0,0,Auto rickshaw,2019,
Gujarat,763,254,881,Auto rickshaw,2019,
Haryana,372,168,352,Auto rickshaw,2019,
Himachal Pradesh,2,0,15,Auto rickshaw,2019,
Jammu & Kashmir,37,11,103,Auto rickshaw,2019,
Jharkhand,281,166,330,Auto rickshaw,2019,
Karnataka,1679,323,2395,Auto rickshaw,2019,
Kerala,2842,136,1975,Auto rickshaw,2019,
Madhya Pradesh,1621,303,2252,Auto rickshaw,2019,
Maharashtra,864,271,1040,Auto rickshaw,2019,
Manipur,25,3,62,Auto rickshaw,2019,
Meghalaya,5,2,14,Auto rickshaw,2019,
Mizoram,0,0,3,Auto rickshaw,2019,
Nagaland,103,1,36,Auto rickshaw,2019,
Odisha,390,157,542,Auto rickshaw,2019,
Punjab,199,149,112,Auto rickshaw,2019,
Rajasthan,262,114,317,Auto rickshaw,2019,
Sikkim,0,0,0,Auto rickshaw,2019,
Tamil Nadu,1412,174,2135,Auto rickshaw,2019,
Telangana,1079,342,1756,Auto rickshaw,2019,
Tripura,32,6,41,Auto rickshaw,2019,
Uttarakhand,15,6,12,Auto rickshaw,2019,
Uttar Pradesh,2649,1382,1781,Auto rickshaw,2019,
West Bengal,100,43,113,Auto rickshaw,2019,
Andaman & Nicobar Islands,3,0,5,Auto rickshaw,2019,
Chandigarh,3,0,8,Auto rickshaw,2019,
Dadra & Nagar Haveli,0,0,0,Auto rickshaw,2019,
Daman & Diu,0,0,0,Auto rickshaw,2019,
Delhi,89,12,115,Auto rickshaw,2019,
Lakshadweep,0,0,0,Auto rickshaw,2019,
Puducherry,16,0,68,Auto rickshaw,2019,
Andhra Pradesh,2399,703,2878,Car/Jeep/Taxi,2019,
Arunachal Pradesh,59,27,69,Car/Jeep/Taxi,2019,
Assam,1429,528,1515,Car/Jeep/Taxi,2019,
Bihar,1332,932,1026,Car/Jeep/Taxi,2019,
Chhattisgarh,1965,413,1668,Car/Jeep/Taxi,2019,
Goa,1063,16,279,Car/Jeep/Taxi,2019,
Gujarat,3349,1381,3739,Car/Jeep/Taxi,2019,
Haryana,1346,589,1452,Car/Jeep/Taxi,2019,
Himachal Pradesh,1137,469,1892,Car/Jeep/Taxi,2019,
Jammu & Kashmir,2004,246,2587,Car/Jeep/Taxi,2019,
Jharkhand,642,497,508,Car/Jeep/Taxi,2019,
Karnataka,7870,1735,9978,Car/Jeep/Taxi,2019,
Kerala,13354,365,3432,Car/Jeep/Taxi,2019,
Madhya Pradesh,8237,1631,8026,Car/Jeep/Taxi,2019,
Maharashtra,5306,2029,5101,Car/Jeep/Taxi,2019,
Manipur,177,32,366,Car/Jeep/Taxi,2019,
Meghalaya,62,31,26,Car/Jeep/Taxi,2019,
Mizoram,8,4,25,Car/Jeep/Taxi,2019,
Nagaland,138,8,98,Car/Jeep/Taxi,2019,
Odisha,1539,661,1832,Car/Jeep/Taxi,2019,
Punjab,1180,774,936,Car/Jeep/Taxi,2019,
Rajasthan,8088,3078,7765,Car/Jeep/Taxi,2019,
Sikkim,38,8,73,Car/Jeep/Taxi,2019,
Tamil Nadu,15748,2620,20526,Car/Jeep/Taxi,2019,
Telangana,4849,782,3711,Car/Jeep/Taxi,2019,
Tripura,105,32,240,Car/Jeep/Taxi,2019,
Uttarakhand,128,70,192,Car/Jeep/Taxi,2019,
Uttar Pradesh,6873,3729,4567,Car/Jeep/Taxi,2019,
West Bengal,680,257,1153,Car/Jeep/Taxi,2019,
Andaman & Nicobar Islands,22,0,17,Car/Jeep/Taxi,2019,
Chandigarh,39,3,17,Car/Jeep/Taxi,2019,
Dadra & Nagar Haveli,6,2,37,Car/Jeep/Taxi,2019,
Daman & Diu,13,4,22,Car/Jeep/Taxi,2019,
Delhi,910,233,909,Car/Jeep/Taxi,2019,
Lakshadweep,0,0,0,Car/Jeep/Taxi,2019,
Puducherry,101,11,200,Car/Jeep/Taxi,2019,
Andhra Pradesh,634,213,1304,Bus,2019,
Arunachal Pradesh,20,4,48,Bus,2019,
Assam,462,153,750,Bus,2019,
Bihar,216,131,266,Bus,2019,
Chhattisgarh,260,71,447,Bus,2019,
Goa,178,8,70,Bus,2019,
Gujarat,511,200,903,Bus,2019,
Haryana,230,135,407,Bus,2019,
Himachal Pradesh,142,81,714,Bus,2019,
Jammu & Kashmir,344,108,849,Bus,2019,
Jharkhand,206,125,228,Bus,2019,
Karnataka,2107,550,3769,Bus,2019,
Kerala,3534,46,1694,Bus,2019,
Madhya Pradesh,2220,459,3094,Bus,2019,
Maharashtra,1110,246,2157,Bus,2019,
Manipur,12,3,25,Bus,2019,
Meghalaya,27,17,7,Bus,2019,
Mizoram,0,0,0,Bus,2019,
Nagaland,23,0,27,Bus,2019,
Odisha,573,267,953,Bus,2019,
Punjab,249,210,99,Bus,2019,
Rajasthan,1364,667,2070,Bus,2019,
Sikkim,0,0,0,Bus,2019,
Tamil Nadu,4342,1135,6066,Bus,2019,
Telangana,1079,208,894,Bus,2019,
Tripura,23,7,31,Bus,2019,
Uttarakhand,15,7,47,Bus,2019,
Uttar Pradesh,2691,1403,2032,Bus,2019,
West Bengal,158,42,576,Bus,2019,
Andaman & Nicobar Islands,16,1,15,Bus,2019,
Chandigarh,2,0,23,Bus,2019,
Dadra & Nagar Haveli,2,1,13,Bus,2019,
Daman & Diu,0,0,0,Bus,2019,
Delhi,128,27,132,Bus,2019,
Lakshadweep,0,0,0,Bus,2019,
Puducherry,9,4,32,Bus,2019,
Andhra Pradesh,1671,629,1690,Truck/Lorry/Tractor,2019,
Arunachal Pradesh,21,9,33,Truck/Lorry/Tractor,2019,
Assam,618,241,579,Truck/Lorry/Tractor,2019,
Bihar,414,243,197,Truck/Lorry/Tractor,2019,
Chhattisgarh,1086,274,579,Truck/Lorry/Tractor,2019,
Goa,140,4,100,Truck/Lorry/Tractor,2019,
Gujarat,1877,817,1563,Truck/Lorry/Tractor,2019,
Haryana,558,320,461,Truck/Lorry/Tractor,2019,
Himachal Pradesh,232,59,301,Truck/Lorry/Tractor,2019,
Jammu & Kashmir,639,138,596,Truck/Lorry/Tractor,2019,
Jharkhand,615,426,289,Truck/Lorry/Tractor,2019,
Karnataka,3072,858,3379,Truck/Lorry/Tractor,2019,
Kerala,2328,41,154,Truck/Lorry/Tractor,2019,
Madhya Pradesh,4050,1042,3202,Truck/Lorry/Tractor,2019,
Maharashtra,1964,627,1306,Truck/Lorry/Tractor,2019,
Manipur,78,30,78,Truck/Lorry/Tractor,2019,
Meghalaya,48,33,9,Truck/Lorry/Tractor,2019,
Mizoram,7,5,3,Truck/Lorry/Tractor,2019,
Nagaland,40,5,20,Truck/Lorry/Tractor,2019,
Odisha,1361,595,1283,Truck/Lorry/Tractor,2019,
Punjab,342,370,174,Truck/Lorry/Tractor,2019,
Rajasthan,3315,1886,2944,Truck/Lorry/Tractor,2019,
Sikkim,0,1,0,Truck/Lorry/Tractor,2019,
Tamil Nadu,5930,1663,6606,Truck/Lorry/Tractor,2019,
Telangana,1810,614,1545,Truck/Lorry/Tractor,2019,
Tripura,34,14,49,Truck/Lorry/Tractor,2019,
Uttarakhand,40,18,32,Truck/Lorry/Tractor,2019,
Uttar Pradesh,3934,2190,2712,Truck/Lorry/Tractor,2019,
West Bengal,657,309,874,Truck/Lorry/Tractor,2019,
Andaman & Nicobar Islands,13,0,4,Truck/Lorry/Tractor,2019,
Chandigarh,1,1,0,Truck/Lorry/Tractor,2019,
Dadra & Nagar Haveli,2,0,6,Truck/Lorry/Tractor,2019,
Daman & Diu,3,2,3,Truck/Lorry/Tractor,2019,
Delhi,166,62,117,Truck/Lorry/Tractor,2019,
Lakshadweep,1,0,1,Truck/Lorry/Tractor,2019,
Puducherry,11,6,40,Truck/Lorry/Tractor,2019,
Andhra Pradesh,4275,1723,2958,Pedestrian,2019,
Arunachal Pradesh,18,8,10,Pedestrian,2019,
Assam,1793,718,1324,Pedestrian,2019,
Bihar,1693,1259,950,Pedestrian,2019,
Chhattisgarh,1439,578,996,Pedestrian,2019,
Goa,199,50,127,Pedestrian,2019,
Gujarat,2745,1291,1789,Pedestrian,2019,
Haryana,3131,1673,2171,Pedestrian,2019,
Himachal Pradesh,672,192,630,Pedestrian,2019,
Jammu & Kashmir,593,88,651,Pedestrian,2019,
Jharkhand,624,386,312,Pedestrian,2019,
Karnataka,6654,1880,6324,Pedestrian,2019,
Kerala,0,1257,9621,Pedestrian,2019,
Madhya Pradesh,7465,1569,6803,Pedestrian,2019,
Maharashtra,7294,2849,5302,Pedestrian,2019,
Manipur,136,32,134,Pedestrian,2019,
Meghalaya,37,19,17,Pedestrian,2019,
Mizoram,15,13,3,Pedestrian,2019,
Nagaland,2,2,0,Pedestrian,2019,
Odisha,1246,624,915,Pedestrian,2019,
Punjab,600,451,242,Pedestrian,2019,
Rajasthan,1897,1443,2421,Pedestrian,2019,
Sikkim,17,4,20,Pedestrian,2019,
Tamil Nadu,4121,1044,3858,Pedestrian,2019,
Telangana,2529,1249,3039,Pedestrian,2019,
Tripura,260,65,192,Pedestrian,2019,
Uttarakhand,380,206,249,Pedestrian,2019,
Uttar Pradesh,3411,1772,2332,Pedestrian,2019,
West Bengal,5005,2933,3029,Pedestrian,2019,
Andaman & Nicobar Islands,56,6,59,Pedestrian,2019,
Chandigarh,88,36,59,Pedestrian,2019,
Dadra & Nagar Haveli,20,15,6,Pedestrian,2019,
Daman & Diu,18,10,15,Pedestrian,2019,
Delhi,1161,364,859,Pedestrian,2019,
Lakshadweep,0,0,0,Pedestrian,2019,
Puducherry,335,49,255,Pedestrian,2019,
Andhra Pradesh,279,94,319,Bicycle,2019,dj
Arunachal Pradesh,0,0,0,Bicycle,2019,
Assam,260,106,225,Bicycle,2019,
Bihar,659,419,428,Bicycle,2019,
Chhattisgarh,600,173,478,Bicycle,2019,
Goa,14,2,9,Bicycle,2019,
Gujarat,238,84,166,Bicycle,2019,
Haryana,187,103,295,Bicycle,2019,
Himachal Pradesh,16,5,12,Bicycle,2019,
Jammu & Kashmir,37,7,48,Bicycle,2019,
Jharkhand,392,261,294,Bicycle,2019,
Karnataka,208,48,209,Bicycle,2019,
Kerala,1,99,974,Bicycle,2019,
Madhya Pradesh,831,121,841,Bicycle,2019,
Maharashtra,531,182,379,Bicycle,2019,
Manipur,28,5,27,Bicycle,2019,
Meghalaya,0,0,0,Bicycle,2019,
Mizoram,0,0,0,Bicycle,2019,
Nagaland,0,0,0,Bicycle,2019,
Odisha,328,136,244,Bicycle,2019,
Punjab,268,190,107,Bicycle,2019,
Rajasthan,184,51,127,Bicycle,2019,
Sikkim,0,0,0,Bicycle,2019,
Tamil Nadu,594,230,592,Bicycle,2019,
Telangana,133,71,107,Bicycle,2019,
Tripura,19,13,18,Bicycle,2019,
Uttarakhand,40,29,16,Bicycle,2019,
Uttar Pradesh,2469,1317,1534,Bicycle,2019,
West Bengal,689,352,468,Bicycle,2019,
Andaman & Nicobar Islands,6,0,7,Bicycle,2019,
Chandigarh,28,10,22,Bicycle,2019,
Dadra & Nagar Haveli,4,3,1,Bicycle,2019,
Daman & Diu,2,0,2,Bicycle,2019,
Delhi,239,67,193,Bicycle,2019,
Lakshadweep,0,0,0,Bicycle,2019,
Puducherry,116,18,79,Bicycle,2019,
Andhra Pradesh,1283,682,1638,Others,2019,
Arunachal Pradesh,60,41,63,Others,2019,
Assam,691,248,599,Others,2019,
Bihar,897,573,611,Others,2019,
Chhattisgarh,1203,536,1439,Others,2019,
Goa,52,30,37,Others,2019,
Gujarat,730,446,557,Others,2019,
Haryana,1771,419,966,Others,2019,
Himachal Pradesh,124,50,85,Others,2019,
Jammu & Kashmir,569,219,1153,Others,2019,
Jharkhand,1007,686,344,Others,2019,
Karnataka,2923,943,4180,Others,2019,
Kerala,936,53,589,Others,2019,
Madhya Pradesh,4274,1139,4751,Others,2019,
Maharashtra,1380,499,1170,Others,2019,
Manipur,13,5,17,Others,2019,
Meghalaya,124,28,64,Others,2019,
Mizoram,13,14,15,Others,2019,
Nagaland,33,5,17,Others,2019,
Odisha,532,306,774,Others,2019,
Punjab,17,17,0,Others,2019,
Rajasthan,2172,788,1623,Others,2019,
Sikkim,107,60,225,Others,2019,
Tamil Nadu,0,0,0,Others,2019,
Telangana,1663,565,1204,Others,2019,
Tripura,5,5,3,Others,2019,
Uttarakhand,145,166,393,Others,2019,
Uttar Pradesh,3856,2188,2596,Others,2019,
West Bengal,793,441,1516,Others,2019,
Andaman & Nicobar Islands,3,0,1,Others,2019,
Chandigarh,0,0,0,Others,2019,
Dadra & Nagar Haveli,0,0,0,Others,2019,
Daman & Diu,4,0,7,Others,2019,
Delhi,379,79,600,Others,2019,
Lakshadweep,0,0,0,Others,2019,
Puducherry,56,11,77,Others,2019,
Andhra Pradesh,10215,3681,10020,Two Wheeler,2020,
Arunachal Pradesh,60,34,78,Two Wheeler,2020,
Assam,1782,725,1287,Two Wheeler,2020,
Bihar,2870,2387,2456,Two Wheeler,2020,
Chhattisgarh,6425,2894,5979,Two Wheeler,2020,
Goa,1000,133,420,Two Wheeler,2020,
Gujarat,5708,2728,5144,Two Wheeler,2020,
Haryana,3873,1792,3074,Two Wheeler,2020,
Himachal Pradesh,517,211,922,Two Wheeler,2020,
Jammu & Kashmir,1117,192,1837,Two Wheeler,2020,
Jharkhand,1584,991,1253,Two Wheeler,2020,
Karnataka,16310,5171,19271,Two Wheeler,2020,
Kerala,11865,1704,19355,Two Wheeler,2020,
Madhya Pradesh,21093,5441,22563,Two Wheeler,2020,
Maharashtra,11984,5868,9031,Two Wheeler,2020,
Manipur,160,48,237,Two Wheeler,2020,
Meghalaya,48,29,33,Two Wheeler,2020,
Mizoram,15,15,20,Two Wheeler,2020,
Nagaland,61,12,40,Two Wheeler,2020,
Odisha,4798,2514,3821,Two Wheeler,2020,
Punjab,2374,1664,1542,Two Wheeler,2020,
Rajasthan,6326,3052,5607,Two Wheeler,2020,
Sikkim,0,0,0,Two Wheeler,2020,
Tamil Nadu,24485,4249,28062,Two Wheeler,2020,
Telangana,9097,3469,9178,Two Wheeler,2020,
Tripura,150,86,157,Two Wheeler,2020,
Uttarakhand,524,338,384,Two Wheeler,2020,
Uttar Pradesh,10968,6393,7010,Two Wheeler,2020,
West Bengal,1080,497,1039,Two Wheeler,2020,
Andaman & Nicobar Islands,78,8,71,Two Wheeler,2020,
Chandigarh,70,23,65,Two Wheeler,2020,
Dadra & Nagar Haveli,52,32,45,Two Wheeler,2020,
Daman & Diu,0,0,0,Two Wheeler,2020,
Delhi,1764,441,1613,Two Wheeler,2020,
Lakshadweep,1,0,1,Two Wheeler,2020,
Puducherry,510,51,448,Two Wheeler,2020,
Andhra Pradesh,1520,520,2711,Auto rickshaw,2020,
Arunachal Pradesh,11,7,12,Auto rickshaw,2020,
Assam,473,134,468,Auto rickshaw,2020,
Bihar,446,309,668,Auto rickshaw,2020,
Chhattisgarh,181,41,172,Auto rickshaw,2020,
Goa,1,0,0,Auto rickshaw,2020,
Gujarat,763,254,881,Auto rickshaw,2020,
Haryana,372,168,352,Auto rickshaw,2020,
Himachal Pradesh,2,0,15,Auto rickshaw,2020,
Jammu & Kashmir,37,11,103,Auto rickshaw,2020,
Jharkhand,281,166,330,Auto rickshaw,2020,
Karnataka,1679,323,2395,Auto rickshaw,2020,
Kerala,2842,136,1975,Auto rickshaw,2020,
Madhya Pradesh,1621,303,2252,Auto rickshaw,2020,
Maharashtra,864,271,1040,Auto rickshaw,2020,
Manipur,25,3,62,Auto rickshaw,2020,
Meghalaya,5,2,14,Auto rickshaw,2020,
Mizoram,0,0,3,Auto rickshaw,2020,
Nagaland,103,I,36,Auto rickshaw,2020,
Odisha,390,157,542,Auto rickshaw,2020,
Punjab,199,149,112,Auto rickshaw,2020,
Rajasthan,262,114,317,Auto rickshaw,2020,
Sikkim,0,0,0,Auto rickshaw,2020,
Tamil Nadu,1412,174,2135,Auto rickshaw,2020,
Telangana,1079,342,1756,Auto rickshaw,2020,
Tripura,32,6,41,Auto rickshaw,2020,
Uttarakhand,15,6,12,Auto rickshaw,2020,
Uttar Pradesh,2649,1382,1781,Auto rickshaw,2020,
West Bengal,100,43,113,Auto rickshaw,2020,
Andaman & Nicobar Islands,3,0,5,Auto rickshaw,2020,
Chandigarh,3,0,8,Auto rickshaw,2020,
Dadra & Nagar Haveli,0,0,0,Auto rickshaw,2020,
Daman & Diu,0,0,0,Auto rickshaw,2020,
Delhi,89,12,115,Auto rickshaw,2020,
Lakshadweep,0,0,0,Auto rickshaw,2020,
Puducherry,16,0,68,Auto rickshaw,2020,
Andhra Pradesh,1913,580,2017,Car/Jeep/Taxi,2020,
Arunachal Pradesh,37,17,54,Car/Jeep/Taxi,2020,
Assam,1307,399,1042,Car/Jeep/Taxi,2020,
Bihar,667,347,780,Car/Jeep/Taxi,2020,
Chhattisgarh,1383,305,1225,Car/Jeep/Taxi,2020,
Goa,620,15,192,Car/Jeep/Taxi,2020,
Gujarat,2193,869,2452,Car/Jeep/Taxi,2020,
Haryana,1371,674,1146,Car/Jeep/Taxi,2020,
Himachal Pradesh,878,409,1334,Car/Jeep/Taxi,2020,
Jammu & Kashmir,1703,192,1838,Car/Jeep/Taxi,2020,
Jharkhand,524,323,364,Car/Jeep/Taxi,2020,
Karnataka,6678,1533,8094,Car/Jeep/Taxi,2020,
Kerala,9501,217,2051,Car/Jeep/Taxi,2020,
Madhya Pradesh,6402,1523,6362,Car/Jeep/Taxi,2020,
Maharashtra,3273,1576,3034,Car/Jeep/Taxi,2020,
Manipur,75,20,128,Car/Jeep/Taxi,2020,
Meghalaya,61,31,81,Car/Jeep/Taxi,2020,
Mizoram,16,14,20,Car/Jeep/Taxi,2020,
Nagaland,251,24,128,Car/Jeep/Taxi,2020,
Odisha,1071,414,1233,Car/Jeep/Taxi,2020,
Punjab,1150,909,689,Car/Jeep/Taxi,2020,
Rajasthan,4798,2180,4637,Car/Jeep/Taxi,2020,
Sikkim,48,18,104,Car/Jeep/Taxi,2020,
Tamil Nadu,5113,931,6505,Car/Jeep/Taxi,2020,
Telangana,2733,658,2782,Car/Jeep/Taxi,2020,
Tripura,82,23,120,Car/Jeep/Taxi,2020,
Uttarakhand,56,13,76,Car/Jeep/Taxi,2020,
Uttar Pradesh,5375,2971,3486,Car/Jeep/Taxi,2020,
West Bengal,1374,609,1865,Car/Jeep/Taxi,2020,
Andaman & Nicobar Islands,21,1,23,Car/Jeep/Taxi,2020,
Chandigarh,26,3,28,Car/Jeep/Taxi,2020,
Dadra & Nagar Haveli,11,6,37,Car/Jeep/Taxi,2020,
Daman & Diu,,,0,Car/Jeep/Taxi,2020,
Delhi,215,53,242,Car/Jeep/Taxi,2020,
Lakshadweep,0,0,0,Car/Jeep/Taxi,2020,
Puducherry,60,16,170,Car/Jeep/Taxi,2020,
Andhra Pradesh,251,59,468,Bus,2020,
Arunachal Pradesh,9,5,15,Bus,2020,
Assam,268,108,305,Bus,2020,
Bihar,70,38,102,Bus,2020,
Chhattisgarh,110,23,276,Bus,2020,
Goa,66,2,76,Bus,2020,
Gujarat,244,87,442,Bus,2020,
Haryana,330,154,322,Bus,2020,
Himachal Pradesh,26,13,201,Bus,2020,
Jammu & Kashmir,348,18,229,Bus,2020,
Jharkhand,165,132,192,Bus,2020,
Karnataka,854,162,1822,Bus,2020,
Kerala,1157,21,592,Bus,2020,
Madhya Pradesh,1088,292,1730,Bus,2020,
Maharashtra,354,106,751,Bus,2020,
Manipur,2,0,3,Bus,2020,
Meghalaya,3,3,42,Bus,2020,
Mizoram,6,1,6,Bus,2020,
Nagaland,2,0,0,Bus,2020,
Odisha,262,69,545,Bus,2020,
Punjab,81,62,70,Bus,2020,
Rajasthan,593,281,668,Bus,2020,
Sikkim,0,0,0,Bus,2020,
Tamil Nadu,904,140,1289,Bus,2020,
Telangana,316,84,298,Bus,2020,
Tripura,8,2,8,Bus,2020,
Uttarakhand,3,0,29,Bus,2020,
Uttar Pradesh,1935,1058,1469,Bus,2020,
West Bengal,268,114,661,Bus,2020,
Andaman & Nicobar Islands,3,0,4,Bus,2020,
Chandigarh,0,0,0,Bus,2020,
Dadra & Nagar Haveli,0,0,0,Bus,2020,
Daman & Diu,0,0,0,Bus,2020,
Delhi,8,3,14,Bus,2020,
Lakshadweep,0,0,0,Bus,2020,
Puducherry,5,3,26,Bus,2020,
Andhra Pradesh,1203,384,974,Truck/Lorry/Tractor,2020,
Arunachal Pradesh,5,2,7,Truck/Lorry/Tractor,2020,
Assam,454,184,321,Truck/Lorry/Tractor,2020,
Bihar,288,123,177,Truck/Lorry/Tractor,2020,
Chhattisgarh,668,185,465,Truck/Lorry/Tractor,2020,
Goa,182,0,18,Truck/Lorry/Tractor,2020,
Gujarat,1340,645,1153,Truck/Lorry/Tractor,2020,
Haryana,784,374,490,Truck/Lorry/Tractor,2020,
Himachal Pradesh,229,64,279,Truck/Lorry/Tractor,2020,
Jammu & Kashmir,618,82,375,Truck/Lorry/Tractor,2020,
Jharkhand,568,414,350,Truck/Lorry/Tractor,2020,
Karnataka,2279,535,2215,Truck/Lorry/Tractor,2020,
Kerala,1828,43,150,Truck/Lorry/Tractor,2020,
Madhya Pradesh,3145,922,2761,Truck/Lorry/Tractor,2020,
Maharashtra,1308,561,978,Truck/Lorry/Tractor,2020,
Manipur,46,18,68,Truck/Lorry/Tractor,2020,
Meghalaya,40,31,23,Truck/Lorry/Tractor,2020,
Mizoram,7,6,8,Truck/Lorry/Tractor,2020,
Nagaland,31,3,49,Truck/Lorry/Tractor,2020,
Odisha,874,360,826,Truck/Lorry/Tractor,2020,
Punjab,282,249,130,Truck/Lorry/Tractor,2020,
Rajasthan,2422,1357,1831,Truck/Lorry/Tractor,2020,
Sikkim,10,3,20,Truck/Lorry/Tractor,2020,
Tamil Nadu,1650,368,1650,Truck/Lorry/Tractor,2020,
Telangana,1251,457,975,Truck/Lorry/Tractor,2020,
Tripura,32,10,19,Truck/Lorry/Tractor,2020,
Uttarakhand,19,8,13,Truck/Lorry/Tractor,2020,
Uttar Pradesh,3329,1780,1987,Truck/Lorry/Tractor,2020,
West Bengal,1202,731,1698,Truck/Lorry/Tractor,2020,
Andaman & Nicobar Islands,4,1,11,Truck/Lorry/Tractor,2020,
Chandigarh,2,1,5,Truck/Lorry/Tractor,2020,
Dadra & Nagar Haveli,3,2,13,Truck/Lorry/Tractor,2020,
Daman & Diu,0,0,0,Truck/Lorry/Tractor,2020,
Delhi,13,3,18,Truck/Lorry/Tractor,2020,
Lakshadweep,0,0,0,Truck/Lorry/Tractor,2020,
Puducherry,14,7,25,Truck/Lorry/Tractor,2020,
Andhra Pradesh,365,141,297,Bicycle,2020,
Arunachal Pradesh,0,0,0,Bicycle,2020,
Assam,400,253,421,Bicycle,2020,
Bihar,468,339,288,Bicycle,2020,
Chhattisgarh,451,137,356,Bicycle,2020,
Goa,8,2,6,Bicycle,2020,
Gujarat,204,86,136,Bicycle,2020,
Haryana,170,91,239,Bicycle,2020,
Himachal Pradesh,11,6,12,Bicycle,2020,
Jammu & Kashmir,22,12,35,Bicycle,2020,
Jharkhand,131,123,99,Bicycle,2020,
Karnataka,238,73,154,Bicycle,2020,
Kerala,1,80,708,Bicycle,2020,
Madhya Pradesh,751,154,756,Bicycle,2020,
Maharashtra,501,172,351,Bicycle,2020,
Manipur,20,5,17,Bicycle,2020,
Meghalaya,4,4,0,Bicycle,2020,
Mizoram,0,0,0,Bicycle,2020,
Nagaland,5,2,5,Bicycle,2020,
Odisha,377,183,241,Bicycle,2020,
Punjab,338,237,134,Bicycle,2020,
Rajasthan,99,44,84,Bicycle,2020,
Sikkim,0,0,0,Bicycle,2020,
Tamil Nadu,1849,431,1583,Bicycle,2020,
Telangana,208,63,149,Bicycle,2020,
Tripura,20,8,11,Bicycle,2020,
Uttarakhand,43,33,15,Bicycle,2020,
Uttar Pradesh,2005,1123,1355,Bicycle,2020,
West Bengal,726,391,395,Bicycle,2020,
Andaman & Nicobar Islands,3,1,4,Bicycle,2020,
Chandigarh,20,10,14,Bicycle,2020,
Dadra & Nagar Haveli,4,3,2,Bicycle,2020,
Daman & Diu,,,0,Bicycle,2020,
Delhi,152,48,114,Bicycle,2020,
Lakshadweep,0,0,0,Bicycle,2020,
Puducherry,67,21,68,Bicycle,2020,
Andhra Pradesh,3232,1272,2292,Pedestrian,2020,
Arunachal Pradesh,3,2,5,Pedestrian,2020,
Assam,1327,618,906,Pedestrian,2020,
Bihar,3141,2649,1880,Pedestrian,2020,
Chhattisgarh,1473,575,1102,Pedestrian,2020,
Goa,98,29,69,Pedestrian,2020,
Gujarat,2418,1199,1352,Pedestrian,2020,
Haryana,1449,658,1188,Pedestrian,2020,
Himachal Pradesh,465,145,393,Pedestrian,2020,
Jammu & Kashmir,300,101,774,Pedestrian,2020,
Jharkhand,331,267,192,Pedestrian,2020,
Karnataka,5164,1592,4315,Pedestrian,2020,
Kerala,0,738,5361,Pedestrian,2020,
Madhya Pradesh,6472,1512,5708,Pedestrian,2020,
Maharashtra,5156,2214,3330,Pedestrian,2020,
Manipur,96,26,111,Pedestrian,2020,
Meghalaya,43,43,15,Pedestrian,2020,
Mizoram,5,5,7,Pedestrian,2020,
Nagaland,47,11,23,Pedestrian,2020,
Odisha,1250,632,790,Pedestrian,2020,
Punjab,594,453,190,Pedestrian,2020,
Rajasthan,2273,1066,1547,Pedestrian,2020,
Sikkim,20,5,20,Pedestrian,2020,
Tamil Nadu,8979,1540,8243,Pedestrian,2020,
Telangana,3287,1148,2520,Pedestrian,2020,
Tripura,132,51,110,Pedestrian,2020,
Uttarakhand,261,147,153,Pedestrian,2020,
Uttar Pradesh,3344,1674,2134,Pedestrian,2020,
West Bengal,4399,2526,2522,Pedestrian,2020,
Andaman & Nicobar Islands,28,3,27,Pedestrian,2020,
Chandigarh,34,12,25,Pedestrian,2020,
Dadra & Nagar Haveli,24,18,19,Pedestrian,2020,
Daman & Diu,,,0,Pedestrian,2020,
Delhi,1621,505,1242,Pedestrian,2020,
Lakshadweep,0,0,0,Pedestrian,2020,
Puducherry,297,47,214,Pedestrian,2020,
Andhra Pradesh,724,365,785,Others,2020,
Arunachal Pradesh,9,6,14,Others,2020,
Assam,378,149,331,Others,2020,
Bihar,630,467,615,Others,2020,
Chhattisgarh,839,418,840,Others,2020,
Goa,392,42,98,Others,2020,
Gujarat,452,262,381,Others,2020,
Haryana,964,559,618,Others,2020,
Himachal Pradesh,111,45,67,Others,2020,
Jammu & Kashmir,710,119,699,Others,2020,
Jharkhand,639,469,457,Others,2020,
Karnataka,924,349,1195,Others,2020,
Kerala,683,38,315,Others,2020,
Madhya Pradesh,4153,876,3791,Others,2020,
Maharashtra,1485,776,1360,Others,2020,
Manipur,5,6,34,Others,2020,
